device,n_layer,n_head,n_embd,batch_size,block_size,param_count_m,avg_cpu_power,avg_gpu_power,total_power,final_loss,training_time,avg_step_time,steps_per_second,steps_per_second_watt,flops_per_step,flops_per_second,flops_per_watt,total_steps_time,forward_total_time_s,backward_total_time_s,optimizer_step_time_s,zero_grad_time_s,gradient_clipping_time_s,embedding_time_s,transformer_blocks_time_s,final_layernorm_time_s,output_head_time_s,loss_calculation_time_s,block_total_time_s,block_attention_time_s,block_mlp_time_s,block_layernorm1_time_s,block_layernorm2_time_s,block_residual1_time_s,block_residual2_time_s,attention_total_time_s,attention_qkv_proj_time_s,attention_reshape_time_s,attention_compute_time_s,attention_output_reassemble_time_s,mlp_total_time_s,mlp_fc1_time_s,mlp_activation_time_s,mlp_fc2_time_s,mlp_dropout_time_s,io_time_s,first_data_load_time_s,dynamic_learing_rate_loop_time_s,loss_evaluation_time_s,accumulation_time_s,data_loading_time_s,profiling_n_printing_time_s,loss_time_s,mfu_time_s
cpu,2,2,128,1,64,0.419072,173.5,0.4,173.9,2.5985,1.4517838954925537,0.0026347761194029846,379.5388885741801,2182.512297723865,326041600,123745466492.94739,711589801.5695652,0.5295899999999999,0.219764,0.146569,0.188279,0.005102,0.043527,0.004644,0.096998,0.004009,0.007279,0.004648,0.09571,0.035949,0.039455,0.008272,0.008042,0.001138,0.001157,0.034624,0.010754,0.003024,0.011466,0.007878,0.03832,0.008362,0.01739,0.009872,0.001418,0.31917,0.005722,0.000203,0.014112,0.509085,0.018316,0.000142,0.000238,0.005207
mps,2,2,128,1,64,0.419072,202.16666666666666,43.46666666666667,245.63333333333333,2.5985,2.477372884750366,0.007585621890547265,131.8283476857894,536.6875329859794,326041600,42981525404.83107,174982461.95480147,1.5247100000000002,0.423102,0.28312,0.196125,0.004052,0.109272,0.040862,0.160147,0.001639,0.028607,0.025905,0.158794,0.124435,0.023812,0.003524,0.003304,0.001207,0.001112,0.123271,0.008226,0.002789,0.100714,0.010188,0.022982,0.005823,0.009634,0.005226,0.001186,0.329725,0.007797,0.000262,0.076464,1.038318,0.253126,0.000164,0.345802,0.006834
cpu,2,2,128,1,128,0.427264,180.16666666666666,0.2,180.36666666666665,2.7138,1.5139410495758057,0.0028807462686567193,347.1322729392256,1924.5921619251096,673054720,233639014766.07404,1295355838.6586993,0.5790300000000006,0.253959,0.180248,0.188318,0.004692,0.044322,0.004849,0.113819,0.004411,0.007309,0.004797,0.111994,0.038778,0.051316,0.008799,0.00864,0.001448,0.001354,0.037472,0.009657,0.002607,0.015816,0.00796,0.050138,0.010407,0.025498,0.011831,0.001199,0.321343,0.004278,0.000212,0.014736,0.557615,0.015883,0.000146,0.000191,0.00544
mps,2,2,128,1,128,0.427264,220.86666666666667,55.333333333333336,276.2,2.7138,2.477660894393921,0.007643830845771141,130.82445440995573,473.65841567688534,673054720,88052016532.04552,318798032.3390497,1.5364099999999994,0.445053,0.29526,0.191257,0.00415,0.111691,0.041571,0.168642,0.001695,0.030354,0.027536,0.167197,0.131112,0.024655,0.003858,0.003745,0.001247,0.001155,0.129954,0.00862,0.002907,0.106324,0.010744,0.023737,0.005768,0.009903,0.00562,0.001304,0.330701,0.005917,0.000301,0.075582,1.03844,0.232447,0.000154,0.386238,0.006602
cpu,2,2,128,1,256,0.443648,229.66666666666666,0.26666666666666666,229.93333333333334,2.7372,1.724614143371582,0.0038524875621890513,259.5725447149224,1128.9034997749595,1429995520,371187576057.3387,1614326947.1905131,0.7743499999999993,0.402435,0.289729,0.184246,0.005703,0.048693,0.006488,0.186297,0.005034,0.00948,0.005784,0.18307,0.071062,0.084807,0.009999,0.009971,0.003038,0.002444,0.069703,0.017253,0.002869,0.037388,0.010681,0.083643,0.020956,0.039018,0.021119,0.001336,0.316748,0.007148,0.000241,0.02125,0.745741,0.021615,0.000167,0.0,0.00623
mps,2,2,128,1,256,0.443648,180.6,86.0,266.6,2.7372,2.793484926223755,0.009162985074626864,109.13474068282514,409.3576169648355,1429995520,156062190252.8017,585379558.3375907,1.8417599999999996,0.482764,0.314292,0.214316,0.004516,0.120567,0.04255,0.182989,0.001812,0.033762,0.030412,0.181493,0.143763,0.025679,0.003939,0.003951,0.00138,0.001225,0.142456,0.009109,0.003092,0.116372,0.012387,0.024686,0.006009,0.010346,0.005699,0.001374,0.332837,0.005333,0.000292,0.080333,1.270238,0.394046,0.000183,0.430584,0.007439
cpu,2,2,128,1,512,0.476416,410.96666666666664,1.8666666666666667,412.8333333333333,2.5581,2.4195590019226074,0.00733258706467662,136.37751467245644,330.3452111565356,3195535360,435799170444.75336,1055629803.257376,1.4738500000000005,0.836706,0.714378,0.211437,0.008765,0.056874,0.015474,0.396938,0.006494,0.013302,0.007526,0.392002,0.181957,0.166341,0.012279,0.011983,0.009153,0.008205,0.180652,0.03284,0.003142,0.123501,0.019554,0.165124,0.047689,0.075444,0.03916,0.001524,0.324472,0.005229,0.000351,0.039075,1.425887,0.02913,0.00017,0.0,0.006462
mps,2,2,128,1,512,0.476416,225.26666666666668,198.56666666666666,423.83333333333337,2.5581,2.885685920715332,0.009262238805970149,107.9652577469101,254.7351736065515,3195535360,345006798781.76514,814015254.6954741,1.86171,0.482843,0.316816,0.204427,0.004488,0.115553,0.042751,0.181972,0.001727,0.035175,0.032302,0.180505,0.143758,0.024801,0.003907,0.003918,0.001391,0.001183,0.142474,0.008882,0.002952,0.117058,0.012115,0.023844,0.005808,0.010238,0.005394,0.001228,0.337887,0.006251,0.000333,0.091646,1.387305,0.523908,0.000226,0.77939,0.008368
cpu,2,2,128,2,64,0.419072,175.63333333333333,0.6333333333333333,176.26666666666665,2.5966,1.498509168624878,0.002818258706467663,354.82902889826454,2013.023991480321,652083200,231378048616.8728,1312659126.0412602,0.5664700000000003,0.252338,0.167523,0.186496,0.004603,0.044344,0.004901,0.112512,0.004378,0.007388,0.004859,0.110429,0.036241,0.052218,0.008862,0.008745,0.001395,0.001355,0.034946,0.009762,0.002706,0.012777,0.008243,0.051026,0.00991,0.025244,0.013481,0.001229,0.313953,0.004169,0.000223,0.014361,0.545523,0.018887,0.000147,0.000238,0.005625
mps,2,2,128,2,64,0.419072,216.6,54.333333333333336,270.93333333333334,2.5966,2.425442934036255,0.007383084577114431,135.4447439353099,499.9190844069017,652083200,88321242048.51747,325988836.30112255,1.4840000000000007,0.433542,0.303922,0.187492,0.004055,0.107508,0.040169,0.165353,0.001872,0.029904,0.026211,0.163953,0.126179,0.02721,0.003601,0.00322,0.001133,0.001195,0.124899,0.009943,0.002843,0.100101,0.010618,0.026358,0.006205,0.010639,0.007231,0.001181,0.330641,0.006248,0.00027,0.075643,1.027934,0.227928,0.000149,0.387764,0.006276
